Suburb,Search Name,Price [$],Location [Deg],Distance to CBD [km]
Jollys Lookout,Jollys Lookout  Australia,"2,999,900","(-27.4102783, 152.8269501)",20.491411725623557
Burbank,Burbank  Australia,"1,280,100","(-27.5583324, 153.1588898)",16.64315351738553
Bulimba,Bulimba  Australia,"1,213,600","(-27.4498447, 153.0600915)",4.192129182426638
Hawthorne,Hawthorne  Australia,"1,173,100","(-27.4623063, 153.0598051)",3.663729217613327
Clayfield,Clayfield  Australia,"1,135,700","(-27.4223848, 153.050976)",5.833034363643241
Toowong,Toowong  Australia,"1,040,500","(-27.4857407, 152.9915943)",3.6602120139251535
Bardon,Bardon  Australia,"992,500","(-27.4593968, 152.9803388)",4.396005574897528
Graceville,Graceville  Australia,"951,100","(-27.520899, 152.977918)",7.307673462133898
Clear Mountain,Clear Mountain  Australia,"947,300","(-27.3186112, 152.8908386)",21.207328962926947
Wooloowin,Wooloowin  Australia,"930,600","(-27.4194368, 153.0412308)",5.761746312177197
Dutton Park,Dutton Park  Australia,"923,000","(-27.4962402, 153.0269023)",3.0406998438253714
Shorncliffe,Shorncliffe  Australia,"918,800","(-27.3260995, 153.08185)",16.850347759114314
Taringa,Taringa  Australia,"913,200","(-27.4923992, 152.9786001)",5.1411441480996745
Belivah,Belivah  Australia,"898,200","(-27.7586117, 153.1750031)",35.40941038810022
Yeerongpilly,Yeerongpilly  Australia,"868,100","(-27.5239023, 153.0137075)",6.16373901774083
Holland Park,Holland Park  Australia,"818,500","(-27.520083, 153.0729783)",7.482521914332137
Kurwongbah,Kurwongbah  Australia,"794,500","(-27.2255554, 152.9194489)",28.870491662540307
Greenslopes,Greenslopes  Australia,"764,500","(-27.5088321, 153.0529626)",5.290634686181144
Sunnybank,Sunnybank  Australia,"727,800","(-27.5752834, 153.0557235)",12.203534600192564
Stafford Heights,Stafford Heights  Australia,"634,000","(-27.3961056, 153.0110337)",8.167458457701851
Mount Gravatt East,Mount Gravatt East  Australia,"629,700","(-27.5326267, 153.0830705)",9.187443974203916
Nudgee Beach,Nudgee Beach  Australia,"627,500","(-27.3451285, 153.1030225)",15.816495650466948
Ferny Grove,Ferny Grove  Australia,"615,600","(-27.4034029, 152.933129)",11.515885306851047
Woody Point,Woody Point  Australia,"604,500","(-27.2568802, 153.1054221)",24.85965615877572
Logan Village,Logan Village  Australia,"601,800","(-27.7675482, 153.1070052)",34.0978847752602
Geebung,Geebung  Australia,"582,600","(-27.3703832, 153.0471643)",11.172047967845161
Everton Park,Everton Park  Australia,"578,300","(-27.4064443, 152.9869559)",7.813751215952482
Munruben,Munruben  Australia,"578,200","(-27.7462512, 153.0271901)",30.72876407066988
Jamboree Heights,Jamboree Heights  Australia,"510,800","(-27.5574149, 152.9345227)",13.165789376772427
Griffin,Griffin  Australia,"466,100","(-27.2637264, 153.0298285)",22.751321105937336
Burpengary,Burpengary  Australia,"456,600","(-27.1566105, 152.9696319)",35.02012281134405
Rothwell,Rothwell  Australia,"446,600","(-27.215019, 153.0571941)",28.33668020429303
Pinkenba,Pinkenba  Australia,"435,500","(-27.4221287, 153.1197445)",10.838470599772176
Strathpine,Strathpine  Australia,"430,700","(-27.3099861, 152.9905347)",17.915945852703715
Dakabin,Dakabin  Australia,"421,400","(-27.2276653, 152.9848502)",27.010626815465606
Bethania,Bethania  Australia,"399,400","(-27.6918376, 153.1561448)",27.95484616164323
Fernvale,Fernvale  Australia,"372,900","(-27.4561674, 152.652785)",36.67086764903057
Coochiemudlo Island,Coochiemudlo Island  Australia,"335,900","(-27.569291149999998, 153.33356633360756)",32.58792978350988
Redbank Plains,Redbank Plains  Australia,"333,100","(-27.6513182, 152.8479458)",26.625022046894703
Beenleigh,Beenleigh  Australia,"322,200","(-27.717486, 153.204506)",32.82914105576931
Raceview,Raceview  Australia,"320,000","(-27.6360785, 152.7773823)",30.55778887755908
Brendale,Brendale  Australia,"303,300","(-27.3179887, 152.9816204)",17.235134455524133
Blackstone,Blackstone  Australia,"301,600","(-27.6306942, 152.8050166)",28.050352991568875
Ebbw Vale,Ebbw Vale  Australia,"295,000","(-27.6070787, 152.8252297)",24.85520723995069
Moores Pocket,Moores Pocket  Australia,"279,800","(-27.5996399, 152.785415)",27.618472021837764
Goodna,Goodna  Australia,"269,000","(-27.6113146, 152.8949144)",20.25161259534509
Basin Pocket,Basin Pocket  Australia,"239,600","(-27.6004003, 152.7713677)",28.85163836415369
Lamb Island,Lamb Island  Australia,"149,100","(-27.624130649999998, 153.37980119434394)",39.167778992938864
