Suburb,Location [Deg],Distance to CBD [km],Price [$],Venue #1,Venue #2,Venue #3,Venue #4,Venue #5,Venue #6,Venue #7,Venue #8,Venue #9,Venue #10
Burbank,"(-27.5583324, 153.1588898)",16.64315351738553,"1,280,100",Gym,Asian Restaurant,French Restaurant,Coffee Shop,Cafe,Bowling Green,Convenience Store,Hungarian Restaurant,Golf Course,Fabric Shop
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,"1,213,600",Fast Food Restaurant,Diner,Sandwich Place,Furniture / Home Store,Park,Home Service,Dessert Shop,Dim Sum Restaurant,Department Store,Farm
Hawthorne,"(-27.4623063, 153.0598051)",3.663729217613327,"1,173,100",Shopping Mall,Fast Food Restaurant,Coffee Shop,Theater,Farmers Market,Supermarket,Liquor Store,Bus Station,Plaza,Stadium
Clayfield,"(-27.4223848, 153.050976)",5.833034363643241,"1,135,700",Campground,Wings Joint,Fast Food Restaurant,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Doctor's Office
Toowong,"(-27.4857407, 152.9915943)",3.6602120139251535,"1,040,500",Pizza Place,Coffee Shop,Train Station,Furniture / Home Store,Discount Store,Fabric Shop,Event Service,Electronics Store,Dog Run,Doctor's Office
Bardon,"(-27.4593968, 152.9803388)",4.396005574897528,"992,500",Soccer Field,Wings Joint,Farmers Market,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store
Graceville,"(-27.520899, 152.977918)",7.307673462133898,"951,100",Cafe,Construction & Landscaping,Grocery Store,Bakery,Dance Studio,Coffee Shop,Dessert Shop,Dim Sum Restaurant,Diner,Farmers Market
Wooloowin,"(-27.4194368, 153.0412308)",5.761746312177197,"930,600",Coffee Shop,Italian Restaurant,Park,Sushi Restaurant,Beer Bar,Pizza Place,Movie Theater,Mexican Restaurant,Cafe,Burger Joint
Dutton Park,"(-27.4962402, 153.0269023)",3.0406998438253714,"923,000",Bar,Trail,Wings Joint,Farm,Fabric Shop,Event Service,Electronics Store,Dog Run,Doctor's Office,Discount Store
Shorncliffe,"(-27.3260995, 153.08185)",16.850347759114314,"918,800",Coffee Shop,Fast Food Restaurant,Pizza Place,Sandwich Place,Supermarket,Shopping Mall,Gym,Deli / Bodega,Department Store,Dessert Shop
Taringa,"(-27.4923992, 152.9786001)",5.1411441480996745,"913,200",Grocery Store,Sushi Restaurant,Pizza Place,Wings Joint,Fried Chicken Joint,Seafood Restaurant,Liquor Store,Breakfast Spot,Portuguese Restaurant,Japanese Restaurant
Belivah,"(-27.7586117, 153.1750031)",35.40941038810022,"898,200",Pier,Australian Restaurant,Coffee Shop,Boat or Ferry,Other Repair Shop,Beach,Dog Run,Farm,Fabric Shop,Event Service
