Suburb,Location [Deg],Distance to CBD [km],Venue Name,Venue Category,Price [$]
Burbank,"(-27.5583324, 153.1588898)",16.64315351738553,Brisbane Koala Bushlands,Trail,"1,280,100"
Burbank,"(-27.5583324, 153.1588898)",16.64315351738553,Czech Club,Bar,"1,280,100"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,The Oxford Taphouse,Beer Bar,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,Sugo Mi,Italian Restaurant,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,Mugged Espresso Bar,Coffee Shop,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,Grill'd,Burger Joint,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,Balmoral Cineplex,Movie Theater,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,Bulimba Memorial Park,Park,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,Riverbend Books,Bookstore,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,Bellissimo Coffee,Coffee Shop,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,Baskin-Robbins,Ice Cream Shop,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,French Twist,French Restaurant,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,La Quinta,Mexican Restaurant,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,Bulimba Riverside Park,Park,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,Revel Brewing Co,Brewery,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,CocoBliss,Juice Bar,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,Delizioso on Oxford,Italian Restaurant,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,Sushi MURA,Sushi Restaurant,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,Sushi Station,Sushi Restaurant,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,Woolworths,Supermarket,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,Anytime Fitness Bulimba,Gym / Fitness Center,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,Oxford Street Bakery,Coffee Shop,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,Southern Attitude,BBQ Joint,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,Earth N Sea,Pizza Place,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,The Coffee Club,Café,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,Vietnamese Mint,Vietnamese Restaurant,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,Park Bench Espresso,Coffee Shop,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,Il Molo Italian Kitchen & Bar,Italian Restaurant,"1,213,600"
Bulimba,"(-27.4498447, 153.0600915)",4.192129182426638,Coming Up Roses,Gift Shop,"1,213,600"
Hawthorne,"(-27.4623063, 153.0598051)",3.663729217613327,Marinara Ristorante Cafe,Italian Restaurant,"1,173,100"
Hawthorne,"(-27.4623063, 153.0598051)",3.663729217613327,Hawthorne Garage,Deli / Bodega,"1,173,100"
Hawthorne,"(-27.4623063, 153.0598051)",3.663729217613327,Bungalow 4171,Café,"1,173,100"
