Suburb,Search Name,Price [$],Location [Deg],Distance to CBD [km]
Dandenong South,Dandenong South  Australia,"3,168,300","(-38.0279936, 145.2209236)",32.81286019425973
Kooyong,Kooyong  Australia,"2,916,200","(-37.841394, 145.0358402)",7.073863719145467
Toorak,Toorak  Australia,"2,786,000","(-37.8416141, 145.0176215)",5.677548189631682
East Melbourne,East Melbourne  Australia,"2,713,700","(-37.812498, 144.9858851)",2.0100612861240013
Brighton,Brighton  Australia,"2,477,400","(-37.9081962, 144.9957991)",10.819226931036079
Canterbury,Canterbury  Australia,"2,450,600","(-37.8247469, 145.0807636)",10.420354408901662
Malvern,Malvern  Australia,"2,434,300","(-37.8576088, 145.0350666)",7.953639449882775
Middle Park,Middle Park  Australia,"2,245,800","(-37.8511511, 144.9620399)",4.100558932765363
Princes Hill,Princes Hill  Australia,"2,209,000","(-37.7818041, 144.9665675)",3.610150106565909
Albert Park,Albert Park  Australia,"2,148,700","(-37.8477725, 144.96200797154074)",3.7257509384314864
Bangholme,Bangholme  Australia,"2,141,300","(-38.0483919, 145.1720859)",31.82702245510746
Hawthorn East,Hawthorn East  Australia,"2,135,200","(-37.8313785, 145.0499797)",7.877574069194886
South Yarra,South Yarra  Australia,"2,095,300","(-37.8377695, 144.9918537)",3.635210911433735
Kew,Kew  Australia,"2,077,800","(-37.8033586, 145.0333285)",6.295422296313269
Balwyn,Balwyn  Australia,"2,049,800","(-37.8091737, 145.0833678)",10.599810277485034
Hawthorn,Hawthorn  Australia,"1,996,900","(-37.8244246, 145.0317207)",6.141917963258117
Camberwell,Camberwell  Australia,"1,990,100","(-37.8384623, 145.0740767)",10.128948327698085
Surrey Hills,Surrey Hills  Australia,"1,921,300","(-37.8241183, 145.0986212)",11.977493200415127
Glen Iris,Glen Iris  Australia,"1,908,100","(-37.855814, 145.0646117)",10.053443813362872
Ivanhoe East,Ivanhoe East  Australia,"1,870,800","(-37.7733903, 145.0617815)",9.797268167055869
Mount Cottrell,Mount Cottrell  Australia,"1,808,000","(-37.76249, 144.62283)",30.522622469686127
Balwyn North,Balwyn North  Australia,"1,807,500","(-37.7919518, 145.0842372)",10.945458098036394
Elsternwick,Elsternwick  Australia,"1,795,900","(-37.8858425, 145.0070152)",8.837312748007962
St Kilda West,St Kilda West  Australia,"1,777,700","(-37.8579958, 144.9712452)",4.910927019595789
Caulfield North,Caulfield North  Australia,"1,719,100","(-37.870828, 145.0218005)",8.131521517495923
Kew East,Kew East  Australia,"1,707,100","(-37.7904215, 145.0527906)",8.323647111761039
Hampton,Hampton  Australia,"1,690,500","(-37.9381127, 145.0014764)",14.158777184362126
Elwood,Elwood  Australia,"1,678,800","(-37.8788568, 144.9855487)",7.440210722372599
Park Orchards,Park Orchards  Australia,"1,657,600","(-37.7769195, 145.2146209)",22.531107529516905
Eaglemont,Eaglemont  Australia,"1,640,400","(-37.7638101, 145.0537229)",9.743476539237358
Box Hill,Box Hill  Australia,"1,634,600","(-37.8137032, 145.123805125)",14.145470261327679
Melbourne,Melbourne  Australia,"1,627,800","(-37.8142176, 144.9631608)",0.0
Malvern East,Malvern East  Australia,"1,620,500","(-37.876835, 145.0658739)",11.403232692489214
Brighton East,Brighton East  Australia,"1,610,900","(-37.9171728, 145.0163663)",12.349236695875792
Fitzroy,Fitzroy  Australia,"1,593,600","(-37.8010382, 144.9792611)",2.037164438584706
Mont Albert,Mont Albert  Australia,"1,568,700","(-37.819535, 145.1055334)",12.549851622627942
Caulfield,Caulfield  Australia,"1,565,300","(-37.882265000000004, 145.02246283740942)",9.180789055326759
Beaumaris,Beaumaris  Australia,"1,559,500","(-37.9822122, 145.0389098)",19.800984328617943
Alphington,Alphington  Australia,"1,553,900","(-37.7783953, 145.0312823)",7.1976488027151655
Ashburton,Ashburton  Australia,"1,550,400","(-37.862047, 145.0812907)",11.675169761897369
Warrandyte South,Warrandyte South  Australia,"1,546,300","(-37.7610033, 145.2373853)",24.866730542881946
Kangaroo Ground,Kangaroo Ground  Australia,"1,539,200","(-37.6918649, 145.2158904)",26.08574015565591
Sandringham,Sandringham  Australia,"1,533,400","(-37.950301, 145.0043875)",15.53380181306417
Carlton North,Carlton North  Australia,"1,528,500","(-37.7845585, 144.9728553)",3.4008637603871166
Ripponlea,Ripponlea  Australia,"1,520,400","(-37.8777978, 144.9952778)",7.602102838392287
Narre Warren East,Narre Warren East  Australia,"1,510,000","(-37.9627116, 145.361856)",38.75115637652553
Gardenvale,Gardenvale  Australia,"1,499,600","(-37.8966425, 145.0041759)",9.834956789003133
Port Melbourne,Port Melbourne  Australia,"1,483,800","(-37.8333613, 144.9219203)",4.206937873936496
Prahran,Prahran  Australia,"1,482,800","(-37.8519135, 145.0005993)",5.3261432762759435
Wonga Park,Wonga Park  Australia,"1,452,100","(-37.735635, 145.26487465356428)",27.97545373981948
McKinnon,McKinnon  Australia,"1,419,900","(-37.9109769, 145.0381437)",12.604648965732654
Caulfield South,Caulfield South  Australia,"1,419,800","(-37.894699, 145.0249323)",10.457056073244589
