Suburb,Location [Deg],Distance to CBD [km],Price [$],Venue #1,Venue #2,Venue #3,Venue #4,Venue #5,Venue #6,Venue #7,Venue #8,Venue #9,Venue #10
Dandenong South,"(-38.0279936, 145.2209236)",32.81286019425973,"3,168,300",Supermarket,Fast Food Restaurant,Grocery Store,Restaurant,Coffee Shop,Spa,Cafe,Big Box Store,Men's Store,Shopping Mall
Kooyong,"(-37.841394, 145.0358402)",7.073863719145467,"2,916,200",Supermarket,Fast Food Restaurant,Bakery,Portuguese Restaurant,Big Box Store,Market,Discount Store,Breakfast Spot,Department Store,Farm
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,"2,786,000",Cafe,Athletics & Sports,Breakfast Spot,Italian Restaurant,Park,Grocery Store,Seafood Restaurant,Hotel,Pier,Tennis Court
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,"2,713,700",Cafe,Fast Food Restaurant,Pizza Place,Vietnamese Restaurant,Malay Restaurant,Skating Rink,Grocery Store,Bakery,Chinese Restaurant,Gym
Brighton,"(-37.9081962, 144.9957991)",10.819226931036079,"2,477,400",Train Station,Convenience Store,Coffee Shop,Golf Course,Gym / Fitness Center,Park,Liquor Store,Pizza Place,Thai Restaurant,Cafe
Canterbury,"(-37.8247469, 145.0807636)",10.420354408901662,"2,450,600",Gym,Diner,Park,Bar,Performing Arts Venue,Train Station,Harbor / Marina,Thai Restaurant,Pizza Place,Fish & Chips Shop
Malvern,"(-37.8576088, 145.0350666)",7.953639449882775,"2,434,300",Convenience Store,Bus Station,Newsstand,Cricket Ground,Fish & Chips Shop,Home Service,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
Middle Park,"(-37.8511511, 144.9620399)",4.100558932765363,"2,245,800",Gym,Recreation Center,Cafe,Gym / Fitness Center,Filipino Restaurant,Ethiopian Restaurant,Event Service,Event Space,Falafel Restaurant,Farm
Princes Hill,"(-37.7818041, 144.9665675)",3.610150106565909,"2,209,000",Bus Line,Grocery Store,Train Station,Sports Club,Pub,Business Service,Fish & Chips Shop,Filipino Restaurant,Event Space,Falafel Restaurant
Albert Park,"(-37.8477725, 144.96200797154074)",3.7257509384314864,"2,148,700",Cafe,Bakery,Pizza Place,Light Rail Station,Middle Eastern Restaurant,Thai Restaurant,Liquor Store,Greek Restaurant,Coffee Shop,Supermarket
