Suburb,Location [Deg],Distance to CBD [km],Venue Name,Venue Category,Price [$]
Dandenong South,"(-38.0279936, 145.2209236)",32.81286019425973,MSY Technology,Electronics Store,"3,168,300"
Dandenong South,"(-38.0279936, 145.2209236)",32.81286019425973,Harvey Norman Dandenong,Furniture / Home Store,"3,168,300"
Dandenong South,"(-38.0279936, 145.2209236)",32.81286019425973,Road Runner Cafe,Café,"3,168,300"
Dandenong South,"(-38.0279936, 145.2209236)",32.81286019425973,Zenith Cafe,Café,"3,168,300"
Kooyong,"(-37.841394, 145.0358402)",7.073863719145467,Boroondara Farmers' Market,Farmers Market,"2,916,200"
Kooyong,"(-37.841394, 145.0358402)",7.073863719145467,Kooyong Tennis Club,Tennis Stadium,"2,916,200"
Kooyong,"(-37.841394, 145.0358402)",7.073863719145467,The Food Store,Café,"2,916,200"
Kooyong,"(-37.841394, 145.0358402)",7.073863719145467,Robert Menzies Reserve,Park,"2,916,200"
Kooyong,"(-37.841394, 145.0358402)",7.073863719145467,Kooyong Station,Train Station,"2,916,200"
Kooyong,"(-37.841394, 145.0358402)",7.073863719145467,7-Eleven,Convenience Store,"2,916,200"
Kooyong,"(-37.841394, 145.0358402)",7.073863719145467,Kooyong Park - Righetti Oval,Park,"2,916,200"
Kooyong,"(-37.841394, 145.0358402)",7.073863719145467,Kooyong Park,Dog Run,"2,916,200"
Kooyong,"(-37.841394, 145.0358402)",7.073863719145467,Vic Swish,Athletics & Sports,"2,916,200"
Kooyong,"(-37.841394, 145.0358402)",7.073863719145467,Hawthorn Velodrome,Outdoors & Recreation,"2,916,200"
Kooyong,"(-37.841394, 145.0358402)",7.073863719145467,Cabrini Terrace Cafe,Café,"2,916,200"
Kooyong,"(-37.841394, 145.0358402)",7.073863719145467,Cellulite Institute,Spa,"2,916,200"
Kooyong,"(-37.841394, 145.0358402)",7.073863719145467,H.A. Smith Reserve,Park,"2,916,200"
Kooyong,"(-37.841394, 145.0358402)",7.073863719145467,Roll'd Vietnamese,Vietnamese Restaurant,"2,916,200"
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,Monkey Bean,Café,"2,786,000"
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,Mammoth,Café,"2,786,000"
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,Toorak Foodstore,Deli / Bodega,"2,786,000"
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,Trak Lounge,Rock Club,"2,786,000"
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,Townhouse,Café,"2,786,000"
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,Romeo's Of Toorak,Italian Restaurant,"2,786,000"
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,Woolworths,Supermarket,"2,786,000"
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,Zanuba Bar & Restaurant,Café,"2,786,000"
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,The Dihnersaw and his Fionsay,Breakfast Spot,"2,786,000"
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,Manhattan,Australian Restaurant,"2,786,000"
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,Funkies,Breakfast Spot,"2,786,000"
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,Sezanas Coffee Shop,Coffee Shop,"2,786,000"
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,Laurent Bakery,Bakery,"2,786,000"
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,7-Eleven,Convenience Store,"2,786,000"
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,Amcal Chemist,Pharmacy,"2,786,000"
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,Woolworths,Grocery Store,"2,786,000"
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,Orita Japanese,Japanese Restaurant,"2,786,000"
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,Tok H Centre,Shopping Mall,"2,786,000"
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,Sushi Gallery,Sushi Restaurant,"2,786,000"
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,Fashion Deli,Boutique,"2,786,000"
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,Marquee Restaurant,Restaurant,"2,786,000"
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,Heyington Station,Train Station,"2,786,000"
Toorak,"(-37.8416141, 145.0176215)",5.677548189631683,Tram Stop 37 (72),Light Rail Station,"2,786,000"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,Fitzroy Gardens,Park,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,Hard Pressed,Café,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,Jinda Thai Restaurant,Thai Restaurant,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,Kiwi Fish and Chips,Fish & Chips Shop,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,Square & Compass,Café,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,South of Johnston,Café,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,Neko Neko,Japanese Restaurant,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,Tom Toon Thai Noodle Cafe,Thai Restaurant,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,lululemon athletica,Clothing Store,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,STREAT,Café,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,Melbourne Cricket Ground (MCG),Cricket Ground,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,The Tippler & Co,Wine Bar,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,Rupert on Rupert,Gastropub,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,"Lemon, Middle and Orange",Café,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,Allpress Melbourne Roastery Cafe,Café,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,Aka Siro,Japanese Restaurant,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,Papirica,Japanese Restaurant,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,Lazerpig,Pizza Place,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,IDES,Australian Restaurant,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,Gertrude St Enoteca,Wine Bar,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,Trippy Taco,Taco Place,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,Fifty Acres,Breakfast Spot,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,Archie's All Day,Café,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,The Everleigh,Cocktail Bar,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,Shopfront Coffee,Coffee Shop,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,Major Major,Café,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,Le Bon Ton,BBQ Joint,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,Bar SK,Bar,"2,713,700"
East Melbourne,"(-37.812498, 144.9858851)",2.0100612861240013,The Builders Arms Hotel,Bar,"2,713,700"
