Suburb,Search Name,Price [$],Location [Deg],Distance to CBD [km]
Peppermint Grove,Peppermint Grove  Australia,"4,096,600","(-31.9989555, 115.7670972)",10.207727116880198
Dalkeith,Dalkeith  Australia,"2,505,900","(-31.9956976, 115.7999434)",7.4470943464655175
Cottesloe,Cottesloe  Australia,"2,233,800","(-31.9955715, 115.7558367)",10.973358024187124
Wangara,Wangara  Australia,"2,139,500","(-31.7900584, 115.820817)",18.422133284718388
Claremont,Claremont  Australia,"1,695,500","(-31.9805094, 115.787947)",7.517304611692397
Swanbourne,Swanbourne  Australia,"1,675,000","(-31.9800391, 115.7650141)",9.519289416156667
City Beach,City Beach  Australia,"1,625,500","(-31.9364674, 115.7599058)",9.67834928186256
Floreat,Floreat  Australia,"1,422,400","(-31.9392096, 115.7939626)",6.464850520576607
Nedlands,Nedlands  Australia,"1,389,100","(-31.9799209, 115.8057167)",5.991665919819669
Shenton Park,Shenton Park  Australia,"1,324,700","(-31.959639, 115.8054615)",5.257712347649418
Coolbinia,Coolbinia  Australia,"1,324,100","(-31.91267, 115.8537)",4.486137701443575
Banjup,Banjup  Australia,"1,315,000","(-32.1565753, 115.8878241)",22.752949899541154
Applecross,Applecross  Australia,"1,309,900","(-32.0140001, 115.8395158)",7.0789344683463025
Mariginiup,Mariginiup  Australia,"1,303,400","(-31.7215569, 115.8276065)",25.819603836902928
Mount Claremont,Mount Claremont  Australia,"1,277,500","(-31.9644405, 115.7820352)",7.528961287605744
Mosman Park,Mosman Park  Australia,"1,270,400","(-32.0178686, 115.7637593)",11.651424681657677
Rossmoyne,Rossmoyne  Australia,"1,228,100","(-32.0414229, 115.8667142)",9.85447969254545
Subiaco,Subiaco  Australia,"1,178,300","(-31.9464038, 115.8251338)",3.4141883113478437
Trigg,Trigg  Australia,"1,154,100","(-31.875679, 115.755874)",13.0708986489655
South Perth,South Perth  Australia,"1,134,700","(-31.9781791, 115.8668993)",2.8884065195729582
Menora,Menora  Australia,"1,130,000","(-31.9205353, 115.8608616)",3.5681298596832725
Gnangara,Gnangara  Australia,"1,110,000","(-31.7752884, 115.8649195)",19.678012351246988
Bickley,Bickley  Australia,"1,103,000","(-32.0007909, 116.1015523)",23.40084696444455
Baskerville,Baskerville  Australia,"1,100,000","(-31.7969218, 116.0469782)",24.694612313739988
Wembley Downs,Wembley Downs  Australia,"1,084,800","(-31.9192137, 115.7798863)",8.477858290729806
Ardross,Ardross  Australia,"1,073,200","(-32.0255095, 115.8382524)",8.34108619178641
Bicton,Bicton  Australia,"1,039,600","(-32.02934, 115.7834)",11.191907501827052
Salter Point,Salter Point  Australia,"1,031,100","(-32.0244116, 115.8723459)",8.029213502509513
Daglish,Daglish  Australia,"1,024,400","(-31.951336, 115.8082864)",4.936824462773687
North Coogee,North Coogee  Australia,"1,018,500","(-32.0946563, 115.7605043)",18.355944259941
West Leederville,West Leederville  Australia,"1,016,400","(-31.9385927, 115.8321028)",3.106394672028329
North Fremantle,North Fremantle  Australia,"1,013,800","(-32.0327438, 115.7549789)",13.347445771105392
Attadale,Attadale  Australia,"994,900","(-32.0240443, 115.8035193)",9.56774690901545
Brigadoon,Brigadoon  Australia,"983,200","(-31.7767444, 116.0814604)",28.601092210276274
Watermans Bay,Watermans Bay  Australia,"973,000","(-31.8490984, 115.7554654)",15.18821659072705
Burswood,Burswood  Australia,"947,700","(-31.96267, 115.8954)",3.481021353551574
South Fremantle,South Fremantle  Australia,"930,800","(-32.07406, 115.7543)",16.78386585798502
Wembley,Wembley  Australia,"922,000","(-31.9336484, 115.8148091)",4.8078549729498645
East Fremantle,East Fremantle  Australia,"919,600","(-32.0367843, 115.76909899606565)",12.707389959230973
Sorrento,Sorrento  Australia,"919,300","(-31.8246324, 115.7534097)",17.444422339436393
Belhus,Belhus  Australia,"915,000","(-31.7835894, 116.0079253)",23.374139979656487
Piesse Brook,Piesse Brook  Australia,"910,000","(-31.9641167, 116.0854161)",21.30211073493599
Hovea,Hovea  Australia,"905,100","(-31.8812047, 116.1180747)",25.620706809888425
Cardup,Cardup  Australia,"905,000","(-32.2543603, 115.9853125)",35.46389306298109
North Beach,North Beach  Australia,"897,200","(-31.8594459, 115.7559971)",14.304750174117984
Fremantle,Fremantle  Australia,"887,700","(-32.0558714, 115.7461693)",15.732556426337846
Mount Lawley,Mount Lawley  Australia,"862,800","(-31.9281981, 115.8767714)",3.124405910881633
West Swan,West Swan  Australia,"862,500","(-31.8456066, 115.9885884)",16.96791083982614
Pickering Brook,Pickering Brook  Australia,"861,600","(-32.03461, 116.1132164)",25.551799976338824
Churchlands,Churchlands  Australia,"860,800","(-31.9217089, 115.791731)",7.353745605862155
Karragullen,Karragullen  Australia,"856,600","(-32.0901678, 116.1183621)",28.73759226736545
Burns Beach,Burns Beach  Australia,"852,700","(-31.7282352, 115.7199225)",28.223563772221944
Leederville,Leederville  Australia,"851,700","(-31.9330799, 115.8414423)",2.8247237974281005
Karrinyup,Karrinyup  Australia,"849,200","(-31.8705761, 115.7787989)",11.943008929166195
Manning,Manning  Australia,"848,600","(-32.0152155, 115.8697196)",6.985583689354613
North Perth,North Perth  Australia,"836,300","(-31.9308627, 115.8567044)",2.4489424452305597
Booragoon,Booragoon  Australia,"833,800","(-32.0389158, 115.8303662)",9.973425347890986
Carine,Carine  Australia,"822,500","(-31.8539782, 115.775931)",13.558149804640145
Marmion,Marmion  Australia,"818,100","(-31.8415256, 115.7564401)",15.775509145204525
Winthrop,Winthrop  Australia,"816,100","(-32.0524221, 115.8279248)",11.476468263539314
Mount Hawthorn,Mount Hawthorn  Australia,"816,000","(-31.9216585, 115.8328474)",4.322487397531481
Gwelup,Gwelup  Australia,"811,300","(-31.87156, 115.7993)",10.698530797460126
Alfred Cove,Alfred Cove  Australia,"802,500","(-32.03045, 115.8151)",9.6279218969871
Millendon,Millendon  Australia,"800,600","(-31.8074624, 116.0377085)",23.25059924438715
East Perth,East Perth  Australia,"799,000","(-31.954341, 115.8778894)",1.6558168692715538
Oakford,Oakford  Australia,"755,000","(-32.2139266, 115.932983)",29.763391112002182
Ocean Reef,Ocean Reef  Australia,"747,500","(-31.7569941, 115.7380757)",24.60039705850565
White Gum Valley,White Gum Valley  Australia,"739,300","(-32.060121, 115.7710468)",14.603412714645328
Doubleview,Doubleview  Australia,"728,600","(-31.8951465, 115.7786901)",10.02866348021467
Henley Brook,Henley Brook  Australia,"720,100","(-31.8098939, 116.0045944)",20.897689870660933
Bedfordale,Bedfordale  Australia,"717,600","(-32.179239, 116.0652304)",31.697942036546394
Hillarys,Hillarys  Australia,"712,300","(-31.8097006, 115.7487831)",19.05662578859476
Bateman,Bateman  Australia,"710,400","(-32.0588272, 115.8470984)",11.834508613326756
Mindarie,Mindarie  Australia,"700,200","(-31.6897332, 115.7091824)",32.48833788947944
Kallaroo,Kallaroo  Australia,"696,900","(-31.789844, 115.7440408)",21.155236092282266
Perth,Perth  Australia,"687,900","(-31.9527121, 115.8604796)",0.0
Mullaloo,Mullaloo  Australia,"685,100","(-31.7778558, 115.7467741)",22.174449952449123
Darling Downs,Darling Downs  Australia,"682,600","(-32.1946026, 115.9948579)",29.67217127338025
Lathlain,Lathlain  Australia,"681,400","(-31.9678622, 115.9072491)",4.729702328267353
Willetton,Willetton  Australia,"674,300","(-32.0537782, 115.8899401)",11.547456618086285
Leeming,Leeming  Australia,"673,600","(-32.0742539, 115.8688535)",13.500612746148686
Bedford,Bedford  Australia,"669,800","(-31.9101207, 115.8915315)",5.561193872207527
Gooseberry Hill,Gooseberry Hill  Australia,"667,600","(-31.954209, 116.0488149)",17.80614892488152
Connolly,Connolly  Australia,"667,100","(-31.747944, 115.7497916)",25.005850473813485
Crawley,Crawley  Australia,"666,600","(-31.9786452, 115.8172143)",4.9995641169864635
Murdoch,Murdoch  Australia,"664,700","(-32.0724851, 115.830508)",13.579795407545896
Myaree,Myaree  Australia,"655,500","(-32.0428897, 115.8194409)",10.725142831943602
The Vines,The Vines  Australia,"653,900","(-31.75683, 116.0034)",25.587649128438873
Parkerville,Parkerville  Australia,"651,800","(-31.8789061, 116.1420759)",27.86224827834949
Gidgegannup,Gidgegannup  Australia,"651,000","(-31.7932274, 116.1960296)",36.343494863071975
Duncraig,Duncraig  Australia,"649,300","(-31.8314627, 115.7788108)",15.506591149478536
Malaga,Malaga  Australia,"645,300","(-31.8606948, 115.894192)",10.690040445266318
East Victoria Park,East Victoria Park  Australia,"638,700","(-31.9824394, 115.9039512)",5.267973455660033
Kardinya,Kardinya  Australia,"632,500","(-32.0660375, 115.8178766)",13.19526596667556
Wungong,Wungong  Australia,"628,400","(-32.1827986, 116.0141611)",29.351808184659056
West Perth,West Perth  Australia,"619,000","(-31.9486588, 115.841571)",1.843323002960239
North Lake,North Lake  Australia,"613,200","(-32.07934, 115.8304)",14.326089405952835
Woodvale,Woodvale  Australia,"612,800","(-31.7864026, 115.7936906)",19.494066841946264
Roleystone,Roleystone  Australia,"612,300","(-32.1123763, 116.0688121)",26.471149842910446
Stoneville,Stoneville  Australia,"609,500","(-31.8771153, 116.170759)",30.52004477107165
Guildford,Guildford  Australia,"608,300","(-31.8985059, 115.9702294)",11.993800310932446
Maida Vale,Maida Vale  Australia,"604,200","(-31.9630972, 116.0273087)",15.813387580118727
Innaloo,Innaloo  Australia,"599,100","(-31.8937756, 115.7957972)",8.951431219778605
Martin,Martin  Australia,"598,800","(-32.0708796, 116.0595798)",22.92499945011872
Forrestdale,Forrestdale  Australia,"597,500","(-32.1504796, 115.9378093)",23.114030991320586
Kalamunda,Kalamunda  Australia,"591,500","(-31.9721215, 116.058138)",18.808519387257988
Mundaring,Mundaring  Australia,"582,200","(-31.9014181, 116.1653193)",29.38376843030237
Carmel,Carmel  Australia,"581,600","(-32.0217696, 116.0830987)",22.389120783749306
Helena Valley,Helena Valley  Australia,"575,500","(-31.9204975, 116.0385035)",17.208435235536935
Bassendean,Bassendean  Australia,"573,700","(-31.90592815, 115.94426426213565)",9.470377918342589
Karawara,Karawara  Australia,"572,800","(-32.0087199, 115.8802768)",6.4862456511445306
Munster,Munster  Australia,"569,800","(-32.1419406, 115.7896582)",22.02337675533586
Jandakot,Jandakot  Australia,"567,200","(-32.1016433, 115.8694363)",16.536236439479158
Maylands,Maylands  Australia,"566,900","(-31.9345383, 115.8985445)",4.124852794663572
Canning Vale,Canning Vale  Australia,"566,500","(-32.0782875, 115.9117276)",14.742445244794776
Dianella,Dianella  Australia,"565,600","(-31.8941978, 115.8714367)",6.570610439511457
Joondanna,Joondanna  Australia,"562,700","(-31.9100664, 115.8365834)",5.240970461615015
Northbridge,Northbridge  Australia,"559,300","(-31.9478509, 115.8575464)",0.6061908350209543
Bibra Lake,Bibra Lake  Australia,"550,600","(-32.0942686, 115.8348102)",15.883015716227016
Lesmurdie,Lesmurdie  Australia,"550,200","(-32.0023411, 116.0498493)",18.725416686958265
Bayswater,Bayswater  Australia,"549,800","(-31.9118931, 115.90654936284105)",6.2821731328472215
Yokine,Yokine  Australia,"548,500","(-31.90171, 115.8525017)",5.70549669057387
Welshpool,Welshpool  Australia,"546,500","(-31.9921285, 115.9325126)",8.090811302009532
Hazelmere,Hazelmere  Australia,"545,000","(-31.9109095, 116.0030678)",14.25807361760417
Boya,Boya  Australia,"541,500","(-31.9181116, 116.0566352)",18.94098952644053
Samson,Samson  Australia,"538,000","(-32.0696744, 115.7975399)",14.26790421523092
Osborne Park,Osborne Park  Australia,"537,900","(-31.9033165, 115.814291)",7.0056416283452885
Chidlow,Chidlow  Australia,"537,500","(-31.859595, 116.2687417)",39.973721416190756
Edgewater,Edgewater  Australia,"532,600","(-31.76322, 115.7818)",22.292068293502656
Aubin Grove,Aubin Grove  Australia,"531,700","(-32.1653561, 115.8644764)",23.582655069191713
Hamersley,Hamersley  Australia,"526,900","(-31.8502941, 115.8051957)",12.502837581350851
Glen Forrest,Glen Forrest  Australia,"523,800","(-31.9077456, 116.1027118)",23.44298404552529
Landsdale,Landsdale  Australia,"521,900","(-31.809048, 115.8662569)",15.939530001208166
Tuart Hill,Tuart Hill  Australia,"519,400","(-31.8986812, 115.8346053)",6.471660408759343
Willagee,Willagee  Australia,"518,300","(-32.05211, 115.8043)",12.233655584821724
Darch,Darch  Australia,"517,200","(-31.8128978, 115.8460713)",15.563093976313455
Currambine,Currambine  Australia,"516,000","(-31.7354623, 115.7456718)",26.427158059848338
Padbury,Padbury  Australia,"515,000","(-31.8086572, 115.7728199)",17.998383882393476
Greenwood,Greenwood  Australia,"510,500","(-31.8291292, 115.7982429)",14.914843559344266
Noranda,Noranda  Australia,"510,200","(-31.8762931, 115.8952097)",9.088137607619394
Joondalup,Joondalup  Australia,"509,900","(-31.7430766, 115.7721181)",24.70398038704369
Southern River,Southern River  Australia,"509,800","(-32.0712873, 115.9750775)",17.032679897041785
Atwell,Atwell  Australia,"508,900","(-32.1484601, 115.8659034)",21.712087707975048
Beeliar,Beeliar  Australia,"507,000","(-32.1410864, 115.8243772)",21.16483845288017
South Guildford,South Guildford  Australia,"506,700","(-31.910613, 115.9760781)",11.886401587303851
Jane Brook,Jane Brook  Australia,"499,600","(-31.8789349, 116.1767361)",31.00988580591841
Balcatta,Balcatta  Australia,"497,500","(-31.8709062, 115.8198022)",9.853266041791466
Harrisdale,Harrisdale  Australia,"494,500","(-32.1186965, 115.9314593)",19.58866280525417
Hammond Park,Hammond Park  Australia,"492,300","(-32.1619004, 115.8469467)",23.23161025977871
Sawyers Valley,Sawyers Valley  Australia,"485,600","(-31.9039193, 116.2055141)",33.07424805672209
Mount Richon,Mount Richon  Australia,"483,500","(-32.1572863, 116.0174673)",27.0996501798168
Kinross,Kinross  Australia,"483,200","(-31.7148731, 115.7412603)",28.68581263179244
Hocking,Hocking  Australia,"479,900","(-31.7692851, 115.8189914)",20.714682081635193
Success,Success  Australia,"477,100","(-32.1451437, 115.8495969)",21.363029389256774
Piara Waters,Piara Waters  Australia,"474,500","(-32.1251145, 115.9178022)",19.869187992379672
Tapping,Tapping  Australia,"469,000","(-31.7182317, 115.7939809)",26.751278586934262
Spearwood,Spearwood  Australia,"468,300","(-32.0979276, 115.7816402)",17.741497454039052
Champion Lakes,Champion Lakes  Australia,"466,600","(-32.117917, 115.987317)",21.88897687868637
Quinns Rocks,Quinns Rocks  Australia,"465,900","(-31.6698291, 115.6980227)",34.93580388947813
Caversham,Caversham  Australia,"460,900","(-31.8750099, 115.9748193)",13.82705104026102
