Suburb,Location [Deg],Distance to CBD [km],Price [$],Venue #1,Venue #2,Venue #3,Venue #4,Venue #5,Venue #6,Venue #7,Venue #8,Venue #9,Venue #10
Peppermint Grove,"(-31.9989555, 115.7670972)",10.207727116880198,"4,096,600",Big Box Store,Thai Restaurant,Park,Mobile Phone Shop,Fish Market,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market,Eastern European Restaurant
Dalkeith,"(-31.9956976, 115.7999434)",7.4470943464655175,"2,505,900",Park,Sports Club,Pizza Place,Thai Restaurant,Grocery Store,Pharmacy,Gas Station,Indian Restaurant,Fast Food Restaurant,Farm
Cottesloe,"(-31.9955715, 115.7558367)",10.973358024187124,"2,233,800",Cafe,Japanese Restaurant,Pizza Place,Coffee Shop,Cosmetics Shop,Burger Joint,Fish & Chips Shop,Mediterranean Restaurant,Supermarket,Lounge
Wangara,"(-31.7900584, 115.820817)",18.422133284718388,"2,139,500",Cafe,Department Store,Furniture / Home Store,Mediterranean Restaurant,Movie Theater,Electronics Store,Salad Place,Lounge,Supermarket,Massage Studio
Claremont,"(-31.9805094, 115.787947)",7.517304611692397,"1,695,500",Fast Food Restaurant,Department Store,Cafe,Discount Store,Video Game Store,Supermarket,Massage Studio,Gas Station,Coffee Shop,Shopping Mall
Swanbourne,"(-31.9800391, 115.7650141)",9.519289416156667,"1,675,000",Park,Gas Station,Cafe,Bar,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market,Dumpling Restaurant,Falafel Restaurant
City Beach,"(-31.9364674, 115.7599058)",9.67834928186256,"1,625,500",Lake,Home Service,Bar,Cafe,Yoga Studio,Farm,Electronics Store,Event Service,Event Space,Falafel Restaurant
Floreat,"(-31.9392096, 115.7939626)",6.464850520576607,"1,422,400",Business Service,Indian Restaurant,Grocery Store,Bakery,Pharmacy,Seafood Restaurant,Fast Food Restaurant,Farmers Market,Farm,Dumpling Restaurant
Nedlands,"(-31.9799209, 115.8057167)",5.991665919819669,"1,389,100",Sports Club,Grocery Store,Fast Food Restaurant,Cafe,Sandwich Place,Park,Dance Studio,Deli / Bodega,Fish Market,Fish & Chips Shop
Shenton Park,"(-31.959639, 115.8054615)",5.257712347649418,"1,324,700",Home Service,Mobile Phone Shop,Grocery Store,Italian Restaurant,Coffee Shop,Farm,Electronics Store,Event Service,Event Space,Falafel Restaurant
