Suburb,Search Name,Price [$],Location [Deg],Distance to CBD [km]
Point Piper,Point Piper  Australia,"23,966,600","(-33.8676276, 151.2515727)",3.546846601410703
Elizabeth Bay,Elizabeth Bay  Australia,"8,881,200","(-33.8716908, 151.2282875)",2.1685452177647755
Watsons Bay,Watsons Bay  Australia,"8,406,600","(-33.8432736, 151.2825736)",6.2517282865300166
Duffys Forest,Duffys Forest  Australia,"7,328,300","(-33.6733265, 151.1927796)",20.24956142409013
Lavender Bay,Lavender Bay  Australia,"6,858,000","(-33.8432002, 151.2074155)",1.5361150143345028
Bellevue Hill,Bellevue Hill  Australia,"5,733,500","(-33.8797123, 151.2561988)",4.598939449523465
Rose Bay,Rose Bay  Australia,"5,713,200","(-33.8741644, 151.265471)",5.017745252793238
Vaucluse,Vaucluse  Australia,"5,502,000","(-33.8558564, 151.2761018)",5.5210891131055595
Sydney,Sydney  Australia,"5,330,000","(-33.8548157, 151.2164539)",0.0
Darling Point,Darling Point  Australia,"5,291,600","(-33.8730723, 151.2376378)",2.818338765023252
Whale Beach,Whale Beach  Australia,"4,267,500","(-33.6096795, 151.3309449)",29.186797611070045
Tamarama,Tamarama  Australia,"4,175,000","(-33.8987452, 151.2710753)",7.019996396621536
St Leonards,St Leonards  Australia,"4,142,400","(-33.8225666, 151.1923402)",4.216262669678736
Centennial Park,Centennial Park  Australia,"4,034,100","(-33.8977778, 151.2338889)",5.030968469825937
Dawes Point,Dawes Point  Australia,"3,925,000","(-33.8572223, 151.2067756)",0.9345672400618824
Double Bay,Double Bay  Australia,"3,864,700","(-33.8766373, 151.24245)",3.4124201088393504
Palm Beach,Palm Beach  Australia,"3,701,300","(-33.6005473, 151.3231536)",29.88621614220337
Annangrove,Annangrove  Australia,"3,660,600","(-33.6574838, 150.9460077)",33.26988113253837
Bronte,Bronte  Australia,"3,647,800","(-33.9042128, 151.2637774)",7.013486822401142
Henley,Henley  Australia,"3,615,000","(-33.8423815, 151.1360364)",7.569221261130968
Mosman,Mosman  Australia,"3,595,200","(-33.8301355, 151.2447663)",3.7895609059961135
Clovelly,Clovelly  Australia,"3,542,700","(-33.9126387, 151.2617904)",7.663327476452768
McMahons Point,McMahons Point  Australia,"3,511,000","(-33.8443387, 151.2027957)",1.717049794516243
Tennyson Point,Tennyson Point  Australia,"3,505,800","(-33.8313822, 151.116944)",9.569815638853576
Castle Cove,Castle Cove  Australia,"3,323,100","(-33.7865285, 151.2143187)",7.576937234143308
Clontarf,Clontarf  Australia,"3,321,800","(-33.8072973, 151.2540699)",6.317022661271154
Woollahra,Woollahra  Australia,"3,257,500","(-33.861791749999995, 151.27334161152964)",5.320833587221924
Woolwich,Woolwich  Australia,"3,240,000","(-33.8401988, 151.1710614)",4.503052447075053
Warrawee,Warrawee  Australia,"3,145,300","(-33.7279732, 151.1232279)",16.507037150044145
South Coogee,South Coogee  Australia,"3,115,800","(-33.9322056, 151.2539567)",9.258572983849273
Collaroy,Collaroy  Australia,"3,101,700","(-33.7382194, 151.2996618)",15.054187425369625
Linley Point,Linley Point  Australia,"3,090,600","(-33.8272222, 151.15)",6.870171876557512
Queens Park,Queens Park  Australia,"3,090,400","(-33.8991667, 151.2472222)",5.683652318358999
Cremorne Point,Cremorne Point  Australia,"3,087,500","(-33.8409547, 151.2279762)",1.871079485989572
Dover Heights,Dover Heights  Australia,"3,062,500","(-33.8739831, 151.2810366)",6.342848440463543
Kurraba Point,Kurraba Point  Australia,"3,059,100","(-33.8415873, 151.223028)",1.5884329931721577
Potts Point,Potts Point  Australia,"3,057,500","(-33.8670797, 151.2259967)",1.6218014580408981
Hunters Hill,Hunters Hill  Australia,"3,031,400","(-33.82986925, 151.13602795542036)",7.941485586028301
Bilgola Beach,Bilgola Beach  Australia,"2,995,200","(-33.6443165, 151.324484)",25.40325340923625
Kirribilli,Kirribilli  Australia,"2,991,600","(-33.8476659, 151.2158138)",0.7952630592588231
Bondi,Bondi  Australia,"2,980,100","(-33.8930556, 151.2633333)",6.066579343865508
Breakfast Point,Breakfast Point  Australia,"2,961,000","(-33.8422769, 151.1111054)",9.848535174181327
Roseville,Roseville  Australia,"2,943,400","(-33.7826456, 151.1827257)",8.592508386930348
