Suburb,Location [Deg],Distance to CBD [km],Price [$],Venue #1,Venue #2,Venue #3,Venue #4,Venue #5,Venue #6,Venue #7,Venue #8,Venue #9,Venue #10
Point Piper,"(-33.8676276, 151.2515727)",3.546846601410703,"23,966,600",Farm,Convenience Store,Athletics & Sports,Park,Preschool,Frozen Yogurt Shop,Fruit & Vegetable Store,Field,Filipino Restaurant,Financial or Legal Service
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,"8,881,200",Cafe,Thai Restaurant,Italian Restaurant,Pizza Place,Liquor Store,Australian Restaurant,Grocery Store,Park,Pier,Sports Club
Watsons Bay,"(-33.8432736, 151.2825736)",6.2517282865300166,"8,406,600",Fast Food Restaurant,Gas Station,Pizza Place,Sandwich Place,Bus Line,Gym,Thai Restaurant,Snack Place,Grocery Store,Pet Store
Duffys Forest,"(-33.6733265, 151.1927796)",20.24956142409013,"7,328,300",Cafe,Furniture / Home Store,Park,Coffee Shop,Italian Restaurant,Sandwich Place,Bar,Electronics Store,Pet Store,Bakery
Lavender Bay,"(-33.8432002, 151.2074155)",1.5361150143345028,"6,858,000",National Park,Fast Food Restaurant,Playground,Fruit & Vegetable Store,Frozen Yogurt Shop,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop,Fish Market,Fishing Spot
Bellevue Hill,"(-33.8797123, 151.2561988)",4.598939449523465,"5,733,500",Cafe,Park,Bakery,Grocery Store,Liquor Store,Food,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop,Fish Market
Rose Bay,"(-33.8741644, 151.265471)",5.017745252793239,"5,713,200",Cafe,Pub,Pizza Place,Grocery Store,Liquor Store,Park,Fish & Chips Shop,Italian Restaurant,Fried Chicken Joint,Sushi Restaurant
Vaucluse,"(-33.8558564, 151.2761018)",5.5210891131055595,"5,502,000",Racetrack,Auto Garage,Indian Restaurant,Food,Field,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop,Fish Market,Fishing Spot
Sydney,"(-33.8548157, 151.2164539)",0.0,"5,330,000",Soccer Field,Event Space,Zoo Exhibit,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop,Fish Market,Fishing Spot,Flea Market,Flower Shop
Darling Point,"(-33.8730723, 151.2376378)",2.818338765023252,"5,291,600",Platform,Pub,Motel,Bistro,Tunnel,Convenience Store,Paper / Office Supplies Store,Park,Grocery Store,Bakery
Whale Beach,"(-33.6096795, 151.3309449)",29.186797611070045,"4,267,500",Cafe,Furniture / Home Store,Coffee Shop,Convenience Store,Thai Restaurant,Japanese Restaurant,Pub,Electronics Store,Sandwich Place,Asian Restaurant
Tamarama,"(-33.8987452, 151.2710753)",7.019996396621536,"4,175,000",Park,Seafood Restaurant,Mediterranean Restaurant,Bus Station,Ice Cream Shop,Convenience Store,Cafe,Flower Shop,Field,Filipino Restaurant
St Leonards,"(-33.8225666, 151.1923402)",4.216262669678736,"4,142,400",Chinese Restaurant,Fast Food Restaurant,Pizza Place,Asian Restaurant,Flower Shop,Field,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop,Fish Market
Centennial Park,"(-33.8977778, 151.2338889)",5.030968469825937,"4,034,100",Cafe,Chinese Restaurant,Dumpling Restaurant,Fast Food Restaurant,Japanese Restaurant,Supermarket,Platform,Shanghai Restaurant,Liquor Store,Pharmacy
Dawes Point,"(-33.8572223, 151.2067756)",0.9345672400618824,"3,925,000",Fast Food Restaurant,Supermarket,Hobby Shop,Train Station,Golf Course,Soccer Field,Sports Club,Gas Station,Food Truck,Fishing Spot
Double Bay,"(-33.8766373, 151.24245)",3.4124201088393504,"3,864,700",Cafe,Supermarket,Grocery Store,Turkish Restaurant,Pizza Place,Park,Pakistani Restaurant,Fast Food Restaurant,Candy Store,Lebanese Restaurant
Palm Beach,"(-33.6005473, 151.3231536)",29.88621614220337,"3,701,300",Park,Shopping Mall,Cafe,Food,Field,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop,Fish Market,Fishing Spot
Annangrove,"(-33.6574838, 150.9460077)",33.26988113253837,"3,660,600",Cafe,Grocery Store,Burger Joint,Bakery,Thai Restaurant,Tea Room,Beach,Surf Spot,Sandwich Place,French Restaurant
Bronte,"(-33.9042128, 151.2637774)",7.013486822401142,"3,647,800",Cafe,Grocery Store,Burger Joint,Bakery,Thai Restaurant,Tea Room,Beach,Surf Spot,Sandwich Place,French Restaurant
Henley,"(-33.8423815, 151.1360364)",7.569221261130968,"3,615,000",Cafe,Indian Restaurant,Grocery Store,Thai Restaurant,Japanese Restaurant,Liquor Store,Park,Supermarket,Pool,Seafood Restaurant
Mosman,"(-33.8301355, 151.2447663)",3.7895609059961135,"3,595,200",Park,Beach,Scenic Lookout,Tennis Court,Harbor / Marina,Cafe,French Restaurant,Field,Fried Chicken Joint,Filipino Restaurant
Clovelly,"(-33.9126387, 151.2617904)",7.663327476452768,"3,542,700",Cafe,Pub,Bar,Park,Sushi Restaurant,Pizza Place,Turkish Restaurant,Seafood Restaurant,Gym,Breakfast Spot
McMahons Point,"(-33.8443387, 151.2027957)",1.717049794516243,"3,511,000",Park,Cafe,Bar,Pub,Boat or Ferry,Seafood Restaurant,Food & Drink Shop,Building,Flea Market,Bakery
Tennyson Point,"(-33.8313822, 151.116944)",9.569815638853576,"3,505,800",Pub,Burger Joint,Shopping Mall,Thai Restaurant,Zoo Exhibit,Flower Shop,Field,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop
Castle Cove,"(-33.7865285, 151.2143187)",7.576937234143307,"3,323,100",Fast Food Restaurant,Convenience Store,Pub,Bistro,Bakery,Coffee Shop,Gym,Grocery Store,Pastry Shop,Electronics Store
Clontarf,"(-33.8072973, 151.2540699)",6.317022661271154,"3,321,800",Sandwich Place,Bakery,Harbor / Marina,Cafe,Golf Course,Construction & Landscaping,Park,Zoo Exhibit,Flea Market,Filipino Restaurant
Woollahra,"(-33.861791749999995, 151.27334161152964)",5.320833587221924,"3,257,500",Vietnamese Restaurant,Cafe,Department Store,Sports Bar,Convenience Store,Buffet,Coffee Shop,Supermarket,Chinese Restaurant,Fast Food Restaurant
Woolwich,"(-33.8401988, 151.1710614)",4.503052447075053,"3,240,000",Park,Other Great Outdoors,Bus Station,Zoo Exhibit,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop,Fish Market,Fishing Spot,Flea Market
Warrawee,"(-33.7279732, 151.1232279)",16.507037150044145,"3,145,300",Cafe,Train Station,Platform,Food & Drink Shop,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop,Fish Market,Fishing Spot,Flea Market
South Coogee,"(-33.9322056, 151.2539567)",9.258572983849273,"3,115,800",Cafe,Gym,Thai Restaurant,Japanese Restaurant,Train Station,Golf Course,Grocery Store,Fast Food Restaurant,Bar,Park
Collaroy,"(-33.7382194, 151.2996618)",15.054187425369625,"3,101,700",Dance Studio,Liquor Store,Bar,Train Station,Cafe,Golf Course,Greek Restaurant,Park,Gym,Filipino Restaurant
Linley Point,"(-33.8272222, 151.15)",6.870171876557512,"3,090,600",Fast Food Restaurant,Gym,Shopping Mall,Grocery Store,Sandwich Place,Middle Eastern Restaurant,Big Box Store,Bar,Ice Cream Shop,Bakery
Queens Park,"(-33.8991667, 151.2472222)",5.683652318358999,"3,090,400",Cafe,Supermarket,Italian Restaurant,Gym,Pizza Place,Pharmacy,Park,Fast Food Restaurant,Shopping Mall,Bus Station
Cremorne Point,"(-33.8409547, 151.2279762)",1.871079485989572,"3,087,500",Trail,Beach,Harbor / Marina,Cafe,Gym / Fitness Center,Zoo Exhibit,Flower Shop,Financial or Legal Service,Fish & Chips Shop,Fish Market
Dover Heights,"(-33.8739831, 151.2810366)",6.342848440463543,"3,062,500",Scenic Lookout,Business Service,Event Service,Fast Food Restaurant,French Restaurant,Flea Market,Field,Filipino Restaurant,Financial or Legal Service,Frozen Yogurt Shop
Kurraba Point,"(-33.8415873, 151.223028)",1.5884329931721577,"3,059,100",Park,Pizza Place,Pet Store,Shopping Mall,Grocery Store,Fast Food Restaurant,Field,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop
Potts Point,"(-33.8670797, 151.2259967)",1.6218014580408981,"3,057,500",Cafe,Shopping Mall,Italian Restaurant,Park,Supermarket,Thai Restaurant,Liquor Store,Chinese Restaurant,Filipino Restaurant,Financial or Legal Service
Hunters Hill,"(-33.82986925, 151.13602795542036)",7.941485586028301,"3,031,400",Sports Club,Pizza Place,Music Venue,Gas Station,Cafe,Tennis Court,Middle Eastern Restaurant,Park,BBQ Joint,Pet Store
Bilgola Beach,"(-33.6443165, 151.324484)",25.40325340923625,"2,995,200",Cafe,Park,Fast Food Restaurant,Supermarket,Chinese Restaurant,Thai Restaurant,Shopping Mall,Athletics & Sports,Sushi Restaurant,Sandwich Place
Kirribilli,"(-33.8476659, 151.2158138)",0.7952630592588231,"2,991,600",Cafe,Park,Italian Restaurant,Pizza Place,Golf Course,Sushi Restaurant,Grocery Store,Trail,Fried Chicken Joint,Indian Restaurant
Bondi,"(-33.8930556, 151.2633333)",6.066579343865508,"2,980,100",Thai Restaurant,Fast Food Restaurant,Supermarket,Cafe,Pizza Place,Lebanese Restaurant,Food & Drink Shop,Boutique,Bakery,Grocery Store
Breakfast Point,"(-33.8422769, 151.1111054)",9.848535174181327,"2,961,000",Sports Bar,Pub,Playground,Business Service,Grocery Store,Food,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop,Fish Market
Roseville,"(-33.7826456, 151.1827257)",8.592508386930348,"2,943,400",Garden,Asian Restaurant,Pub,Supermarket,Park,Field,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop,Fish Market
Manly,"(-33.8038504, 151.2908235)",8.9079064545723,"2,871,100",Platform,Bakery,Chinese Restaurant,Train Station,Soccer Field,Pizza Place,Liquor Store,Sandwich Place,Gas Station,Park
North Sydney,"(-33.8354519, 151.2083011)",2.2765127454260363,"2,858,800",Burger Joint,Pub,Thai Restaurant,Supermarket,Grocery Store,Pizza Place,Cafe,Coffee Shop,Shopping Mall,Flea Market
Waverton,"(-33.8383333, 151.1986892)",2.4587733294967022,"2,820,400",Seafood Restaurant,Boat or Ferry,Harbor / Marina,Australian Restaurant,Filipino Restaurant,Financial or Legal Service,Fish & Chips Shop,Fish Market,Fishing Spot,Flea Market
Northwood,"(-33.827964, 151.1782693)",4.62184362690032,"2,800,000",Cafe,Pizza Place,Greek Restaurant,Park,Thai Restaurant,Football Stadium,Paper / Office Supplies Store,Motorcycle Shop,Seafood Restaurant,Recreation Center
Lindfield,"(-33.7802907, 151.1595848)",9.800587106532234,"2,744,900",Cafe,Chinese Restaurant,Indonesian Restaurant,Movie Theater,Seafood Restaurant,Souvlaki Shop,Grocery Store,Park,Coffee Shop,Restaurant
Waverley,"(-33.88415875, 151.27691615633563)",6.472225523190337,"2,730,000",Park,Pizza Place,Convenience Store,Gas Station,Bakery,Grocery Store,Fast Food Restaurant,Fruit & Vegetable Store,Pool,Pub
Castlecrag,"(-33.8003455, 151.2197795)",6.049633256007709,"2,718,600",Cafe,Japanese Restaurant,Fast Food Restaurant,Golf Course,Grocery Store,Thai Restaurant,Park,Pool,Distillery,Food & Drink Shop
