Suburb,Location [Deg],Distance to CBD [km],Venue Name,Venue Category,Price [$]
Point Piper,"(-33.8676276, 151.2515727)",3.546846601410703,Redleaf Beach,Beach,"23,966,600"
Point Piper,"(-33.8676276, 151.2515727)",3.546846601410703,Murray Rose Pool,Beach,"23,966,600"
Point Piper,"(-33.8676276, 151.2515727)",3.546846601410703,Royal Motor Yacht Club,Harbor / Marina,"23,966,600"
Point Piper,"(-33.8676276, 151.2515727)",3.546846601410703,Rose Bay Promenade,Trail,"23,966,600"
Point Piper,"(-33.8676276, 151.2515727)",3.546846601410703,Sushi Den,Sushi Restaurant,"23,966,600"
Point Piper,"(-33.8676276, 151.2515727)",3.546846601410703,Jewel On The Bay,Indian Restaurant,"23,966,600"
Point Piper,"(-33.8676276, 151.2515727)",3.546846601410703,Hachi-Bei,Japanese Restaurant,"23,966,600"
Point Piper,"(-33.8676276, 151.2515727)",3.546846601410703,Rose Bay Park Beach,Beach,"23,966,600"
Point Piper,"(-33.8676276, 151.2515727)",3.546846601410703,Royal Prince Edward Yacht Club,Harbor / Marina,"23,966,600"
Point Piper,"(-33.8676276, 151.2515727)",3.546846601410703,Duff Reserve,Park,"23,966,600"
Point Piper,"(-33.8676276, 151.2515727)",3.546846601410703,Rose Bay Marina,Harbor / Marina,"23,966,600"
Point Piper,"(-33.8676276, 151.2515727)",3.546846601410703,Seven Shillings Beach,Beach,"23,966,600"
Point Piper,"(-33.8676276, 151.2515727)",3.546846601410703,Redleaf Cafe,Café,"23,966,600"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Beare Park,Park,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Coffee Tea & Me,Café,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,The Apollo,Greek Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,The Arthur McElhone Reserve,Park,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Hayes Theatre,Theater,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Room 10,Café,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Rushcutters Bay Park,Park,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Kings Cross Organic Market,Farmers Market,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Monopole,Australian Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Pizza Boccone,Italian Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Primary Coffee Roasters,Coffee Shop,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,The Farm Wholefoods,Convenience Store,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Cafe Two Ants,Café,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Fratelli Paradiso,Italian Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Elizabeth Bay House,Monument / Landmark,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,yellow,Vegetarian / Vegan Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Maggie's,Café,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Dear Sainte Éloise,Wine Bar,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Lot19 Cafe,Café,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Farmhouse Kings Cross,Australian Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Harris Farm Markets,Fruit & Vegetable Store,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Cho Cho San,Japanese Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,The Lookout,Café,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Et Al,Australian Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Ms. G's,Asian Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Joseph Hyde,Café,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,P.E Dept.,Gym / Fitness Center,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Gypsy Espresso,Coffee Shop,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Jangling Jacks,Lounge,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,The Butler,Australian Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Billy Kwong,Chinese Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,The Roosevelt,Speakeasy,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Bistro Rex,French Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Fei Jai,Chinese Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Chester White Cured Diner,Diner,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Gazebo Wine Garden,Wine Bar,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Friggitoria,Italian Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Health Nuts,Juice Bar,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Wok and Noodle Bar,Ramen Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Enya Japanese Restaurant,Japanese Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Mad Pizza E Bar Potts Point Pronto,Pizza Place,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,El Alamein Fountain,Fountain,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Macleay Street Bistro,Australian Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Butler Stairs,Trail,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Malabar South Indian Cuisine,South Indian Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Douce France,Café,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Bayswater Car Rental,Rental Car Location,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Ovolo Woolloomooloo,Hotel,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,The Fish Shop,Fish & Chips Shop,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Harry's Café De Wheels,Pie Shop,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Caffe Roma,Italian Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Sushi Yachiyo,Japanese Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Marta Osteria,Italian Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,China Doll,Chinese Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,John Montagu,Sandwich Place,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Bei Amici,Italian Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,D&B Dumpling & Beer,Dumpling Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Gelato Messina,Ice Cream Shop,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Crane,Sushi Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Glider,Café,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Eau De Vie,Lounge,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Buffalo Dining Club,Italian Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Fitness First,Gym,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Yarranabbe Park,Park,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Otto Ristorante Italiano,Italian Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Chapter E,Café,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Fu Manchu,Chinese Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Dumpling & Noodle House,Dumpling Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Govinda's & Movie Room,Indian Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Potts Point Hotel,Pub,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,A Tavola,Italian Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Chula,Mexican Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Holm Cafe,Café,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Bills,Café,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,169 Darlinghurst,Café,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Infinity Sourdough Bakery,Bakery,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Librarie,Café,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Challis Lodge,Hotel,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Aki's Indian Restaurant,Indian Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Kingsleys Steak & Crabhouse,Steakhouse,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Una's Café & Restaurant,Austrian Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Pin Tohng Thai,Thai Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Out Of Italy,Pizza Place,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Blue Parrot,Hostel,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,3Group,Café,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,The White Wall,Café,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Busshari Japanese Restaurant,Sushi Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Zinc,Café,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,The Deli,Deli / Bodega,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Cafe Maison,Café,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Manta Restaurant,Australian Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,McElhone Stairs,Trail,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Coco Cubano,Café,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Green Park Hotel,Pub,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Kujin,Japanese Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Embarkation Park,Park,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Harumi,Sushi Restaurant,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Mariners Court Hotel,Hotel,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Darlo Bar,Bar,"8,881,200"
Elizabeth Bay,"(-33.8716908, 151.2282875)",2.1685452177647755,Flavour of India,Indian Restaurant,"8,881,200"
Watsons Bay,"(-33.8432736, 151.2825736)",6.2517282865300166,The Gap,Scenic Lookout,"8,406,600"
Watsons Bay,"(-33.8432736, 151.2825736)",6.2517282865300166,Watsons Bay Beach Club,Beer Garden,"8,406,600"
Watsons Bay,"(-33.8432736, 151.2825736)",6.2517282865300166,Robertson Park,Park,"8,406,600"
Watsons Bay,"(-33.8432736, 151.2825736)",6.2517282865300166,Camp Cove Beach,Beach,"8,406,600"
Watsons Bay,"(-33.8432736, 151.2825736)",6.2517282865300166,Sydney Harbour National Park,National Park,"8,406,600"
Watsons Bay,"(-33.8432736, 151.2825736)",6.2517282865300166,Coastal Cliff Top Walkway,Scenic Lookout,"8,406,600"
Watsons Bay,"(-33.8432736, 151.2825736)",6.2517282865300166,Doyles on the Beach,Seafood Restaurant,"8,406,600"
Watsons Bay,"(-33.8432736, 151.2825736)",6.2517282865300166,Fairfax Lookout,Scenic Lookout,"8,406,600"
Watsons Bay,"(-33.8432736, 151.2825736)",6.2517282865300166,Kutti Beach,Beach,"8,406,600"
